"","Number of wins","Base Hits by batters (1B,2B,3B,HR)","Doubles by batters (2B)","Triples by batters (3B)","Homeruns by batters (4B)","Walks by batters","Strikeouts by batters","Stolen bases","Caught stealing","Batters hit by pitch (get a free base)","Hits allowed","Homeruns allowed","Walks allowed","Strikeouts by pitchers","Errors","Double Plays"
"31",71,1399,259,24,114,564,930,169,100,56.71,1399,114,564,930,120,161
"32",66,1468,251,23,169,566,1007,92,76,65.57,2068,238,797,1419,107,155
"33",87,1553,282,28,208,630,993,65,44,58.74,1735,232,704,1109,106,134
"34",70,1581,258,24,193,530,980,53,39,58.33,1591,194,533,986,129,157
"35",84,1531,279,25,161,617,953,126,72,55.71,1531,161,617,953,126,140
"36",85,1530,314,27,147,510,1028,93,45,57.17,1530,147,510,1028,106,146
"37",70,1404,248,22,158,511,1022,71,45,58.53,1404,158,511,1022,106,156
"38",82,1574,309,34,236,608,1024,93,52,47,1574,236,608,1024,134,184
"39",75,1447,275,26,158,494,1001,116,52,77,1447,158,494,1001,103,142
"40",99,1603,333,32,152,462,805,117,51,74,1603,152,462,805,87,151
"41",77,1473,276,33,150,476,838,129,61,56,1473,150,476,838,105,138
"42",92,1603,272,37,162,450,942,143,46,73,1603,162,450,942,90,126
"43",95,1520,278,30,147,447,848,161,57,29,1520,147,447,848,87,139
"44",65,1353,235,46,159,489,1239,73,38,62.63,1353,159,489,1239,100,125
"45",100,1566,289,46,216,588,1045,137,39,59.68,1566,216,588,1045,104,129
"46",85,1466,282,44,179,535,975,97,44,59,1466,179,535,975,107,138
"47",92,1494,284,35,208,587,1052,71,38,57,1494,208,587,1052,84,148
"48",98,1471,283,41,165,643,1016,92,46,50,1471,165,643,1016,89,116
"49",84,1467,303,47,152,531,1006,76,38,45,1467,152,531,1006,107,132
"50",51,1401,295,38,135,441,1022,53,32,35,1401,135,441,1022,139,144
"51",77,1419,291,27,191,606,1094,67,26,55,1419,191,606,1094,94,159
"52",76,1506,331,38,160,504,965,76,30,67,1506,160,504,965,104,172
"53",38,1774,217,96,19,74,99,80.31,46.98,52.9,4871,52,203,272,1252,88
"54",90,1673,222,56,21,134,227,274.73,95.38,53.01,3872,49,310,525,977,97
"55",113,1890,246,100,11,176,327,302.81,108.85,55.67,5103,30,475,883,780,97
"56",104,1703,266,98,39,174,428,313,99.35,53.43,3284,75,336,825,615,112
"57",77,1502,258,79,39,203,426,284.47,104.95,53.08,2897,75,392,822,710,104
"58",87,1587,220,96,29,258,471,323.73,119.28,55.24,3061,56,498,908,569,71
"59",104,1670,345,142,56,203,699,324.77,93.02,56.16,2761,93,336,1155,631,117.83
"60",107,1551,261,88,53,302,963,302.65,98.31,59.68,2264,77,441,1405,546,119.73
"61",67,1323,208,77,32,275,755,267.93,130.34,55.22,1914,46,398,1092,644,109.53
"62",78,1502,209,82,33,346,744,216,124.56,56.83,2080,46,479,1030,644,107.34
"63",82,1680,248,126,71,455,525,499,97.79,54.66,2249,95,609,703,699,124.1
"64",85,1430,202,108,68,341,633,354,109.66,53.5,1729,82,412,765,597,119.74
"65",105,1583,248,68,53,596,570,419,104.28,54.18,2003,67,754,721,523,120.88
"66",93,1486,213,76,38,646,627,347,126.45,54.25,1810,46,787,764,436,110.77
"67",102,1484,212,94,63,625,632,339,110.66,55.04,1742,74,734,742,420,121.95
"68",108,1705,224,63,82,705,367,305,91.74,55.04,2141,103,885,461,443,127.31
"69",102,2035,334,115,126,657,320,296,80.34,56.45,2498,155,806,393,509,133.17
"70",88,1693,244,70,67,618,292,246,90.9,52.08,2094,83,764,361,450,119.81
"71",92,1751,216,92,45,512,339,298,106.51,53.09,2165,56,633,419,455,115.28
"72",114,1932,282,102,55,519,322,286,93.91,53.53,2371,68,637,395,334,116.18
"73",111,1665,207,60,58,440,329,187,96.05,55.21,1810,63,478,358,325,120.57
"74",101,1617,190,96,42,459,287,197,107.59,56.65,1723,45,489,306,314,118.15
"75",77,1647,191,80,56,464,326,214,95.69,54.36,1933,66,545,383,318,101
"76",86,1393,168,46,17,471,569,223,142.3,53.79,1647,20,557,673,279,106
"77",68,1344,207,55,29,467,643.19,187,125.11,53.81,1578,34,548,727.43,412,104
"78",58,1289,162,53,25,335,644.77,151,124.79,53.17,1365,26,355,726.57,358,96
"79",54,1280,156,55,18,318,632.32,139,126.93,53.8,1346,19,335,703.02,327,94
"80",53,1196,146,46,17,382,660.87,100,95.65,53.78,1283,18,410,732.46,362,109
"81",63,1338,155,67,24,452,652.63,129,114.89,56.15,1465,26,495,697.97,273,140
"82",66,1292,144,45,18,436,649.27,141,125.69,52.88,1359,19,459,694.05,265,95
"83",48,1187,131,46,16,424,674.31,143,121.16,52.68,1257,17,449,743.97,360,107
"84",56,1334,183,52,33,380,572,161,110.43,52.07,1412,35,402,606,323,145
"85",47,1520,267,58,40,594,619,181,97.58,52.93,1631,43,637,664,372,118
"86",55,1551,240,72,37,481,731,145,97.59,54.15,1642,39,509,774,312,137
"87",74,1414,205,64,34,524,687,190,131.16,53.09,1517,36,562,737,293,88
"88",100,1384,226,64,37,532,653,147,107.54,53.6,1465,39,563,691,251,151
"89",88,1299,246,61,18,585,661,129,104,53.85,1384,19,623,704,227,123
"90",76,1355,179,79,23,452,622,164,137.86,57.08,1435,24,479,659,237,129
"91",69,1325,140,77,17,457,572,108,102.75,55.3,1731,22,597,747,240,116
"92",66,1400,165,72,28,414,561,169,122.15,53.55,1632,33,483,654,238,129
"93",66,1447,179,92,25,410,520,94,104,53.18,1542,27,437,554,255,133
"94",84,1653,221,106,65,399,498,100,106,54.63,1750,69,422,527,211,129
"95",56,1435,172,77,34,410,478,71,69,53.29,1519,36,434,506,228,128
"96",57,1531,224,61,34,451,425,60,84,54.57,1611,36,474,447,242,165
"97",56,1435,205,55,26,375,478,78,72,53.66,1519,28,397,506,178,163
"98",74,1659,275,74,43,429,402,82,76,55.05,1757,46,454,426,234,154
"99",70,1539,223,66,17,454,371,86,78.35,56.64,1640,18,484,395,222,160
"100",63,1576,227,64,39,364,382,105,90.26,53.74,1658,41,383,402,243,137
"101",53,1524,255,43,55,473,399,64,61.98,55.1,1614,58,501,422,204,149
"102",59,1558,265,81,35,429,454,68,68.68,54.83,1639,37,451,478,215,154
"103",74,1581,259,82,69,349,418,73,70.55,54.75,1663,73,367,440,187,176
"104",67,1438,232,62,36,387,452,48,61.4,52.29,1513,38,407,475,176,148
"105",81,1536,276,56,66,365,522,38,44.96,54.91,1616,69,384,549,160,153
"106",87,1389,228,59,57,343,450,26,49.4,55.58,1461,60,361,473,137,156
"107",84,1566,250,47,89,402,472,32,49.41,55.99,1680,95,431,506,181,129
"108",40,1478,247,35,79,374,462,21,48.42,52.93,1565,84,396,489,209,107
"109",75,1525,218,47,70,455,612,24,44.77,57.13,1604,74,479,644,199,184
"110",84,1348,213,44,67,517,754,48,41.99,55.48,1437,71,551,804,167,136
"111",68,1497,213,42,60,393,530,44,50.06,52,1606,64,422,569,194,191
"112",69,1456,233,53,63,428,619,51,52.57,52.95,1552,67,456,660,195,180
"113",65,1331,230,21,74,519,555,54,47.26,52.65,1457,81,568,608,152,151
"114",72,1284,214,38,41,497,645,59,53.94,55.41,1360,43,526,683,188,147
"115",68,1366,263,41,83,480,535,39,43.67,54.91,1437,87,505,563,191,168
"116",71,1549,244,27,108,554,544,87,56.45,52.26,1651,115,590,580,206,171
"117",86,1458,252,51,47,591,496,64,53.59,55.41,1544,50,626,525,179,137
"118",90,1519,279,44,89,587,526,61,45.22,53.62,1598,94,617,553,161,130
"119",96,1544,288,52,101,710,568,46,37.95,55.2,1635,107,752,601,151,140
"120",79,1447,259,35,108,720,690,29,32.75,58.32,1522,114,757,726,157,151
"121",87,1484,259,38,156,647,648,75,42.5,58.32,1561,164,681,682,191,154
"122",80,1457,246,39,137,594,649,84,36,54.97,1533,144,625,683,153,165
"123",68,1285,198,33,116,511,753,61,36,54.32,1361,123,541,797,162,151
"124",94,1467,228,43,146,495,651,57,33,56.48,1543,154,521,685,122,180
"125",89,1449,230,58,191,530,773,44,28,54.94,1524,201,558,813,160,163
"126",100,1545,232,65,209,485,767,37,17,59.68,1625,220,510,807,126,182
"127",89,1481,224,37,184,507,794,43,15,57.7,1538,191,527,825,128,143
"128",93,1465,208,50,179,487,834,73,39,54.97,1541,188,512,877,146,144
"129",87,1436,209,36,198,562,926,74,45,56.05,1511,208,591,974,117,160
"130",86,1376,204,38,181,581,975,57,27,55.8,1376,181,581,975,123,154
"131",84,1345,204,39,139,525,954,75,52,56.27,1345,139,525,954,129,161
"132",88,1522,274,32,159,486,825,53,41,54.02,1522,159,486,825,143,139
"133",86,1419,243,28,196,408,976,64,37,55.01,1419,196,408,976,140,145
"134",85,1476,220,32,207,512,913,59,47,52.99,1476,207,512,913,154,139
"135",77,1307,191,29,158,512,947,55,45,53.83,1307,158,512,947,138,148
"136",81,1399,179,31,80,414,782,83,44,56.37,1399,80,414,782,125,139
"137",76,1495,215,24,160,522,736,58,34,56.4,1495,160,522,736,140,118
"138",74,1434,196,18,151,560,810,49,37,55.86,1508,159,589,852,164,137
"139",76,1506,220,34,207,612,875,85,40,55.87,1515,208,616,880,167,143
"140",88,1375,202,37,120,571,772,72,44,51.34,1375,120,571,772,132,161
"141",67,1331,180,28,108,546,764,55,38,51.49,1339,109,549,769,176,148
"142",70,1309,170,30,82,589,811,74,61,51.76,1309,82,589,811,167,151
"143",61,1404,218,20,139,537,876,82,53,53.68,1404,139,537,876,175,127
"144",69,1313,191,39,123,550,874,90,65,53.13,1313,123,550,874,153,126
"145",67,1406,223,28,128,496,828,99,51,52.87,1424,130,502,838,185,141
"146",82,1360,227,22,145,437,905,73,52,52.41,1368,146,440,911,163,157
"147",76,1354,226,34,98,491,825,150,60,58.28,2069,150,750,1261,156,142
"148",89,1411,215,22,146,554,869,151,77,50.38,1411,146,554,869,137,186
"149",88,1489,218,45,130,582,847,146,88,51.6,1489,130,582,847,137,176
"150",80,1338,234,27,111,555,896,140,85,53.19,1338,111,555,896,139,153
"151",66,1359,213,28,126,553,849,72,52,47.57,1359,126,553,849,159,197
"152",72,1356,242,24,139,541,910,94,76,53.7,1364,140,544,916,142,182
"153",69,1410,286,24,153,645,839,136,68,51.78,1419,154,649,844,117,171
"154",55,1335,231,28,97,437,859,96,70,52.09,1352,98,442,870,153,140
"155",65,1376,263,26,162,473,1010,92,55,61.06,1376,162,473,1010,158,133
"156",94,1407,255,30,141,563,906,165,76,51.31,1407,141,563,906,138,122
"157",98,1391,223,48,138,493,924,126,60,54.46,1391,138,493,924,109,121
"158",104,1444,239,29,169,560,946,125,48,56.35,1444,169,560,946,108,146
"159",97,1465,281,26,195,536,949,68,44,66.27,2082,277,762,1349,115,121
"160",101,1352,236,30,189,585,1050,82,48,61.96,1521,213,658,1181,113,127
"161",96,1514,264,28,197,530,1032,83,43,60.46,1514,197,530,1032,130,143
"162",101,1490,268,37,174,597,1160,108,58,61.41,1490,174,597,1160,114,136
"163",106,1489,297,26,215,548,1062,98,43,59.17,1489,215,548,1062,91,139
"164",103,1481,309,23,197,608,962,148,66,62.18,1481,197,608,962,111,122
"165",95,1490,274,26,179,595,1010,148,56,59,1490,179,595,1010,129,138
"166",88,1432,263,24,174,493,1039,85,46,45,1432,174,493,1039,103,133
"167",101,1608,321,31,235,545,933,68,22,49,1608,235,545,933,121,166
"168",96,1503,304,37,178,587,1158,86,32,59,1503,178,587,1158,116,171
"169",90,1453,308,37,184,534,1084,92,32,45,1453,184,534,1084,86,170
"170",79,1510,312,26,222,526,1169,52,35,52,1510,222,526,1169,99,146
"171",57,1478,227,78,31,384,454,208,110.34,53.18,1748,37,454,537,465,125
"172",93,1494,248,73,35,444,390,163,97.56,54.59,1780,42,529,465,326,145
"173",76,1320,193,79,14,316,628,118,119.72,55.18,1538,16,368,732,312,110
"174",69,1349,163,56,11,354,649,160,136.86,52.59,1438,12,377,692,285,83
"175",83,1353,158,65,22,398,667.22,240,160,53.24,1471,24,433,711.03,314,87
"176",74,1411,164,67,11,394,636.25,153,134.14,53.43,1504,12,420,685.46,284,103
"177",88,1344,184,55,21,366,656.21,134,127.22,53.78,1432,22,390,687.33,253,103
"178",66,1243,125,49,11,357,646.07,147,130.29,53.08,1342,12,386,715.14,288,116
"179",49,1162,138,63,13,437,740.1,178,141.63,51.4,1222,14,460,836.68,405,119
"180",48,1270,199,67,18,490,733.37,133,117.57,54.23,1354,19,522,801.37,382,111
"181",56,1328,175,75,20,472,745.23,185,147.59,55.23,1397,21,497,807.12,358,134
"182",60,1263,190,77,19,482,814,221,151.45,54.82,1337,20,510,862,319,132
"183",75,1314,196,79,18,448,914,247,200,55.54,1391,19,474,968,336,121
"184",66,1320,175,68,20,497,805,212,168,52.62,1389,21,523,847,353,151
"185",83,1328,190,53,15,660,673,246,158.68,54.6,1397,16,694,708,261,126
"186",60,1315,193,66,16,426,568,165,132.01,51.62,1383,17,448,598,296,146
"187",77,1381,202,53,7,527,451,183,120.01,53.04,1834,9,700,599,252,114
"188",78,1438,218,85,36,456,516,86,76.24,58.12,1676,42,531,601,249,114
"189",80,1748,295,88,53,452,359,125,84,54.92,1851,56,479,380,245,126
"190",85,1741,259,112,70,434,428,97,75,55.62,1831,74,457,450,236,134
"191",98,1781,306,99,103,498,401,139,77,52.76,1874,108,524,422,206,166
"192",79,1587,264,66,87,471,451,68,58,56.9,1691,93,502,481,188,155
"193",79,1645,284,66,71,496,372,91,91,53.18,1753,76,529,396,188,150
"194",65,1524,266,82,76,460,489,65,75,56.19,1603,80,484,514,240,176
"195",62,1525,277,62,58,469,445,96,70,52.46,1615,61,497,471,263,176
"196",86,1505,290,80,66,576,504,80,45,54.19,1583,69,606,530,194,154
"197",67,1489,304,70,79,523,579,98,75,51.22,1566,83,550,609,199,160
"198",66,1531,302,65,80,513,610,77,84,51.24,1611,84,540,642,243,168
"199",66,1580,288,73,70,533,555,73,65,50,1662,74,561,584,197,164
"200",59,1434,262,69,69,558,597,77,64,55.12,1538,74,599,640,161,174
"201",71,1510,269,63,66,548,673,46,33,54.78,1609,70,584,717,199,171
"202",69,1541,310,54,78,632,598,48,27,52.5,1642,83,674,637,198,147
"203",61,1601,319,70,84,666,668,66,21,52.19,1706,90,710,712,200,152
"204",48,1655,344,46,75,541,536,32,28,54.19,1741,79,569,564,183,175
"205",45,1528,255,53,96,588,637,50,40,52.31,1607,101,619,670,209,151
"206",70,1497,292,61,124,585,675,54,42,49.29,1575,130,615,710,166,188
"207",74,1515,296,61,96,815,581,53,41,52.95,1594,101,857,611,159,164
"208",77,1352,244,38,83,606,689,39,46,53.55,1441,88,646,734,162,135
"209",94,1397,235,47,76,559,635,46,35,53.99,1470,80,588,668,180,149
"210",87,1397,231,40,68,536,595,27,33,56.26,1499,73,575,638,153,132
"211",69,1420,231,48,88,489,750,24,37,56.24,1494,93,514,789,167,165
"212",62,1302,199,55,95,613,698,73,52,51,1370,100,645,734,141,178
"213",62,1523,266,66,67,612,606,67,47,52.03,1613,71,648,642,178,201
"214",56,1369,224,32,123,664,736,40,41,50.56,1440,129,698,774,174,162
"215",61,1335,247,45,112,726,783,41,42,53.36,1404,118,764,824,206,163
"216",55,1355,235,49,90,548,729,37,40,54.07,1425,95,576,767,180,188
"217",67,1410,237,48,86,568,757,32,36,54.19,1483,90,598,796,163,185
"218",57,1377,205,52,55,492,667,32,33,55.46,1449,58,518,702,155,160
"219",60,1329,186,41,57,589,781,36,48,53,1398,60,620,822,170,167
"220",73,1307,208,36,96,592,763,41,44,52.59,1375,101,623,803,140,149
"221",81,1413,204,42,93,537,745,61,37,55.36,1506,99,572,794,116,169
"222",78,1306,206,20,114,511,774,35,37,58.37,1383,121,541,820,121,168
"223",78,1304,191,24,115,564,726,38,25,55.62,1372,121,593,764,155,171
"224",94,1375,217,35,129,627,843,39,25,54.64,1446,136,660,887,113,181
"225",95,1393,227,36,149,581,902,39,30,53.79,1393,149,581,902,126,173
"226",77,1363,225,34,156,516,931,45,32,57.95,1363,156,516,931,122,152
"227",86,1359,207,32,146,469,940,97,34,56.96,1359,146,469,940,99,157
"228",97,1357,229,20,162,537,1019,78,38,59.62,1357,162,537,1019,95,159
"229",94,1299,227,38,125,529,907,67,31,57.37,1299,125,529,907,126,152
"230",98,1444,246,35,177,520,938,56,44,55.32,1462,179,527,950,116,144
"231",76,1320,216,44,139,534,1008,54,37,59.06,1328,140,537,1014,125,145
"232",91,1187,215,28,133,570,1019,78,32,55.38,1187,133,570,1019,120,131
"233",109,1465,234,29,175,634,806,82,45,59.63,1465,175,634,806,101,145
"234",108,1424,213,25,179,717,952,84,39,60.57,1424,179,717,952,117,148
"235",104,1417,212,26,162,689,865,68,39,58.71,1453,166,706,887,115,152
"236",84,1213,203,31,105,533,984,82,43,58.51,1276,110,561,1035,105,158
"237",97,1474,229,48,119,648,752,146,64,56.75,1474,119,648,752,119,184
"238",91,1418,226,27,116,509,770,145,58,55.85,1418,116,509,770,128,174
"239",92,1408,228,34,126,591,850,106,56,49.96,1435,128,602,866,109,178
"240",88,1326,213,28,119,519,883,150,61,57.3,1326,119,519,883,118,157
"241",98,1442,232,25,149,563,951,91,51,55.35,1451,150,566,957,107,190
"242",91,1406,250,19,155,555,869,75,61,56.08,1415,156,558,874,111,167
"243",104,1427,263,24,184,619,863,101,50,57.19,1454,187,631,879,127,164
"244",100,1523,258,29,156,587,766,111,38,55.84,1523,156,587,766,95,178
"245",91,1362,255,17,136,623,700,63,52,59.39,2101,210,961,1080,105,176
"246",94,1478,259,27,179,634,796,49,38,57.32,1478,179,634,796,101,140
"247",98,1492,283,27,168,601,800,61,33,58.79,1492,168,601,800,121,159
"248",85,1374,234,23,160,620,884,51,36,54.22,1374,160,620,884,123,166
"249",84,1460,235,22,215,608,914,69,43,54.29,1469,216,612,920,116,169
"250",73,1425,223,13,169,563,862,64,34,54.12,1425,169,563,862,135,163
"251",67,1437,219,20,211,524,939,69,45,55.11,1437,211,524,939,109,174
"252",54,1283,200,20,138,507,874,69,44,52.53,1291,139,510,879,119,173
"253",87,1369,238,33,129,593,957,118,55,53.18,1369,129,593,957,87,163
"254",76,1336,235,22,133,664,968,95,52,57.13,1344,134,668,974,92,152
"255",67,1421,256,29,170,528,974,50,33,54.81,1421,170,528,974,89,172
"256",89,1423,243,36,148,647,827,89,48,52.38,1423,148,647,827,93,168
"257",85,1470,287,24,157,655,930,73,54,56.95,1470,157,655,930,100,171
"258",91,1514,268,29,201,634,947,100,19,68.01,2190,291,917,1370,82,149
"259",80,1425,258,30,195,646,903,104,51,58.45,1603,219,727,1016,81,159
"260",88,1557,299,29,257,645,915,76,40,61.53,1557,257,645,915,97,173
"261",98,1498,264,22,196,586,952,63,26,64.69,1498,196,586,952,97,148
"262",79,1520,303,11,214,593,903,86,48,59.53,1520,214,593,903,81,144
"263",78,1572,299,21,203,615,890,107,46,53.76,1572,203,615,890,89,192
"264",74,1508,310,22,184,558,900,126,65,49,1508,184,558,900,116,151
"265",63,1367,264,24,137,517,995,134,53,77,1375,138,520,1001,126,138
"266",67,1353,311,27,165,452,993,110,48,64,1353,165,452,993,91,173
"267",78,1614,319,18,169,528,949,101,41,57,1614,169,528,949,110,161
"268",74,1492,296,27,189,447,902,83,37,54,1492,189,447,902,107,154
"269",44,1533,221,79,25,664,450,196,111.86,52.62,1881,31,815,552,603,125.65
"270",86,1356,190,79,41,461,816,245,137.24,56.24,1455,44,495,875,260,117
"271",79,1344,206,72,43,448,626,196,121.29,53.75,1432,46,477,667,247,119
"272",105,2241,282,105,42,81,84,105,45,54.76,6723,126,243,252,1296,103.09
"273",98,2343,344,113,35,116,72,61,29,54.75,6778,101,336,208,1059,107.99
"274",42,1187,133,53,9,160,477,242.28,111.74,54.46,2634,20,355,1059,1083,91
"275",47,1468,211,83,8,273,559,297.87,130.36,53.6,2477,14,461,943,1053,109.04
"276",96,1369,203,128,49,322,833,340.17,110.77,59.09,2092,75,492,1273,705,116.73
"277",61,1244,184,88,25,415,786,326.32,141.19,55.1,1849,37,617,1168,623,111.58
"278",59,1169,153,63,10,469,746,333,155.28,52.66,1446,12,580,923,648,108.3
"279",92,1604,242,120,37,563,401,654,110.7,52.91,1925,44,676,481,659,128.97
"280",67,1263,192,83,22,352,566,385,148.55,51.69,1493,26,416,669,545,105.79
"281",84,1451,186,82,24,502,643,373,150.65,54.3,1741,29,602,772,643,102.06
"282",71,1325,162,76,10,596,724,481,134.34,57.83,6313,48,2840,3450,519,104.26
"283",85,1460,170,119,36,661,664,410,138.02,53.89,1752,43,793,797,604,110.15
"284",51,1479,176,122,33,550,529,250,138.44,51.63,1630,36,606,583,644,113.98
"285",75,1596,204,107,34,669,403,290,123.2,54.39,1989,42,834,502,479,126.53
"286",113,2084,343,190,42,653,253,410,97.24,55.71,2638,53,826,320,371,118.29
"287",108,1907,293,111,31,442,303,386,103.57,53.31,2376,39,551,378,359,119.18
"288",113,1944,260,126,29,485,252,554,103.32,55.96,2441,36,609,316,372,117.66
"289",112,1974,303,82,24,545,319,500,117,54.26,2460,30,679,398,345,116.49
"290",104,1722,167,84,13,564,344,272,137.41,53.36,1872,14,613,374,354,115.66
"291",94,1652,223,78,19,458,419,398,128.01,55.48,1808,21,501,459,337,124.85
"292",88,1445,234,70,34,512,620,160,113.93,54.72,1520,36,539,652,272,110
"293",49,1299,206,56,38,494,674,135,91.38,54.26,1366,40,520,709,287,147
"294",89,1469,231,40,26,222,1006,278.9,110.75,58.37,2266,40,343,1552,941,108.68
"295",108,2300,378,200,16,324,103,394,95.49,55.3,12420,86,1750,556,1215,107.07
"296",134,2333,393,107,24,97,90,162,48,54.62,8041,83,334,310,907,96.38
"297",118,2554,376,126,36,170,66,107,74,56.38,7013,99,467,181,1192,105.62
"298",120,2270,301,132,42,74,0,125.78,57.07,54.55,5253,97,171,0,1058,97.74
"299",146,2305,322,111,29,64,0,136.31,61.11,53.93,4727,59,131,0,951,93.89
"300",94,1612,218,124,44,394,336,187,98.76,55.15,1920,52,469,400,392,124
"301",91,1603,231,112,50,325,443,156,88.2,53.67,1896,59,384,524,302,119
"302",107,1568,261,133,56,308,659,166,96.58,54.59,1841,66,362,774,276,101
"303",100,1361,204,110,27,365,600,106,114.48,56.4,1432,28,384,631,248,87
"304",83,1257,176,74,31,518,726.74,140,129.42,54.74,1340,33,552,782.59,309,80
"305",52,1287,168,79,14,313,628.98,104,104.04,53.84,1354,15,329,710.72,350,88
"306",64,1331,167,52,20,332,644.29,136,122.5,52.67,1447,22,361,706.04,292,112
"307",79,1303,123,93,15,304,621.25,176,143.43,54.15,1371,16,320,700.28,311,75
"308",94,1402,162,74,21,373,627.14,231,156.62,52.82,1504,23,400,692.89,312,102
"309",86,1429,185,92,46,455,636.71,205,121.05,57.28,1513,49,482,698.96,326,85
"310",83,1460,215,70,37,536,654.78,201,122.6,53.36,1546,39,568,717.57,341,98
"311",112,1496,287,90,31,602,613.73,197,134.2,53.5,1594,33,642,662.16,284,94
"312",85,1441,238,109,18,503,577,204,138.3,54.87,1556,19,543,623,257,91
"313",96,1353,239,90,19,519,581,187,186,54.12,1433,20,550,615,256,105
"314",108,1403,217,82,15,565,511,127,126,55.14,1505,16,606,548,242,102
"315",96,1311,207,59,15,488,507,136,99.49,57.08,1379,16,513,533,193,114
"316",96,1325,211,68,15,497,504,112,97.67,57.54,1412,16,530,537,195,124
"317",96,1273,204,69,19,522,417,141,112.22,54.31,1637,24,671,536,195,114
"318",78,1405,214,58,39,557,486,128,75.96,53.4,1661,46,659,575,169,140
"319",76,1479,229,75,23,564,454,104,118,54.58,1566,24,597,481,194,139
"320",79,1515,261,73,18,450,362,87,68,58.27,1594,19,473,381,165,159
"321",65,1443,270,58,36,417,512,82,97,53.51,1538,38,444,546,247,134
"322",50,1465,274,68,44,547,450,45,60,53.69,1561,47,583,480,282,160
"323",49,1403,264,57,34,492,476,51,54,56.83,1486,36,521,504,193,151
"324",54,1418,285,82,29,452,480,86,48,54.32,1492,31,475,505,234,170
"325",60,1436,275,66,40,412,542,105,68,53.92,1520,42,436,574,182,147
"326",61,1449,300,73,29,434,520,89,84,51.18,1524,31,457,547,229,167
"327",55,1465,270,72,49,377,581,44,37,52.8,1541,52,397,611,204,169
"328",45,1400,266,60,56,493,567,48,48,54.36,1473,59,519,596,243,174
"329",68,1530,320,61,54,571,504,63,40,50.94,1663,59,621,548,224,145
"330",81,1561,306,75,54,650,570,124,50,52.62,1664,58,693,608,201,150
"331",83,1544,298,67,73,645,498,96,62,53.99,1635,77,683,527,201,144
"332",78,1562,303,65,90,614,489,58,46,51.66,1643,95,646,514,170,146
"333",85,1605,287,68,107,641,594,84,65,54.46,1711,114,683,633,187,148
"334",96,1703,324,61,107,707,503,60,55,52.78,1852,116,769,547,203,187
"335",95,1655,308,61,133,634,542,45,47,51.02,1776,143,680,581,192,158
"336",86,1647,317,84,153,621,628,58,52,48.97,1733,161,653,661,182,164
"337",72,1400,238,45,61,518,630,92,65,53.62,1492,65,552,671,163,191
"338",81,1532,291,59,73,549,531,63,42,52.86,1612,77,578,559,181,162
